ip,mac,architecture,hostname,os,stack_name,stack_version,stack_type,host_machine,host_machine_architecture,host_machine_os,host_machine_hostname,host_machine_mac
192.168.50.107,c8:89:f3:b6:a9:ae,64bit,Elauriches-MBP,macOS,Memory-Diag,2.4.8
192.168.50.107,c8:89:f3:b6:a9:ae,64bit,Elauriches-MBP,macOS,Proofing_Tools,0
192.168.50.107,c8:89:f3:b6:a9:ae,64bit,Elauriches-MBP,macOS,helper,0
192.168.50.107,c8:89:f3:b6:a9:ae,64bit,Elauriches-MBP,macOS,DFonts,0
192.168.50.107,c8:89:f3:b6:a9:ae,64bit,Elauriches-MBP,macOS,Xcode,15.1.0.0.1.1700200546
192.168.50.107,c8:89:f3:b6:a9:ae,64bit,Elauriches-MBP,macOS,app,4.66.23121017
192.168.50.107,c8:89:f3:b6:a9:ae,64bit,Elauriches-MBP,macOS,videomeeting,5.16.2.23409
192.168.50.107,c8:89:f3:b6:a9:ae,64bit,Elauriches-MBP,macOS,MSTeamsAudioDevice,2023.31.1
192.168.50.107,c8:89:f3:b6:a9:ae,64bit,Elauriches-MBP,macOS,licensing,16.52.21080801
192.168.50.107,c8:89:f3:b6:a9:ae,64bit,Elauriches-MBP,macOS,Telegram,10.3.0
192.168.50.107,c8:89:f3:b6:a9:ae,64bit,Elauriches-MBP,macOS,Numbers13,13.2.1.1694639406
192.168.50.107,c8:89:f3:b6:a9:ae,64bit,Elauriches-MBP,macOS,Desktop,5.5.1
192.168.50.107,c8:89:f3:b6:a9:ae,64bit,Elauriches-MBP,macOS,WWDC_Catalyst,8.2.0.0.1.1685221597
192.168.50.107,c8:89:f3:b6:a9:ae,64bit,Elauriches-MBP,macOS,app,16.80.23121017
